data_element,primary_community_id
dbo.Table1.att_14,3
dbo.Table1.att_16,2
dbo.Table1.att_17,0
dbo.Table1.att_18,2
dbo.Table1.att_8,2
dbo.Table10.att_1,2
dbo.Table10.att_10,0
dbo.Table10.att_11,0
dbo.Table10.att_13,2
dbo.Table10.att_18,0
dbo.Table10.att_3,2
dbo.Table10.att_8,1
dbo.Table10.att_9,3
dbo.Table2.att_11,1
dbo.Table2.att_13,2
dbo.Table2.att_17,2
dbo.Table2.att_19,3
dbo.Table2.att_20,2
dbo.Table2.att_3,0
dbo.Table2.att_9,3
dbo.Table3.att_12,1
dbo.Table3.att_15,2
dbo.Table3.att_16,2
dbo.Table3.att_17,0
dbo.Table3.att_2,0
dbo.Table3.att_3,3
dbo.Table3.att_4,2
dbo.Table3.att_6,1
dbo.Table3.att_7,3
dbo.Table3.att_8,1
dbo.Table4.att_11,2
dbo.Table4.att_12,1
dbo.Table4.att_15,0
dbo.Table4.att_16,3
dbo.Table4.att_18,3
dbo.Table4.att_4,0
dbo.Table5.att_10,0
dbo.Table5.att_11,3
dbo.Table5.att_13,0
dbo.Table5.att_16,0
dbo.Table5.att_17,3
dbo.Table5.att_18,2
dbo.Table5.att_2,2
dbo.Table5.att_3,0
dbo.Table5.att_5,1
dbo.Table6.att_10,2
dbo.Table6.att_17,0
dbo.Table6.att_2,2
dbo.Table6.att_20,0
dbo.Table6.att_4,3
dbo.Table6.att_9,3
dbo.Table7.att_12,2
dbo.Table7.att_13,0
dbo.Table7.att_16,2
dbo.Table7.att_17,2
dbo.Table7.att_20,0
dbo.Table7.att_6,3
dbo.Table8.att_1,2
dbo.Table8.att_10,2
dbo.Table8.att_13,0
dbo.Table8.att_14,2
dbo.Table8.att_15,3
dbo.Table8.att_17,0
dbo.Table8.att_18,0
dbo.Table8.att_19,3
dbo.Table8.att_20,2
dbo.Table8.att_7,3
dbo.Table8.att_9,3
dbo.Table9.att_1,3
dbo.Table9.att_10,3
dbo.Table9.att_14,0
dbo.Table9.att_16,2
dbo.Table9.att_17,0
dbo.Table9.att_18,0
dbo.Table9.att_19,0
dbo.Table9.att_5,3
dbo.Table9.att_9,0
