report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,4,1.8423709931771084,splitting,"{4: 9, 5: 6, 1: 3}",3.8689790856719277
Report 17,16,4,1.9237949406953985,splitting,"{6: 5, 5: 5, 4: 4}",3.0780719051126377
Report 5,12,6,2.396240625180289,splitting,"{6: 3, 2: 3, 5: 3}",2.875488750216347
Report 3,13,5,2.103909910282364,splitting,"{5: 4, 4: 4, 6: 3}",2.735082883367073
Report 10,14,4,1.863120568566631,splitting,"{5: 5, 2: 5, 6: 2}",2.6083687959932833
Report 9,14,4,1.809200032697812,splitting,"{6: 5, 4: 5, 1: 3}",2.532880045776937
Report 4,15,4,1.6729055953200562,splitting,"{6: 8, 4: 3, 5: 3}",2.5093583929800842
Report 13,11,5,2.2312702546075758,splitting,"{3: 3, 4: 3, 6: 2}",2.4543972800683336
Report 18,14,4,1.7244078178625923,splitting,"{1: 7, 2: 3, 5: 3}",2.414170945007629
Report 6,12,4,1.855388542207534,splitting,"{4: 4, 5: 4, 1: 3}",2.226466250649041
